input,aspect_terms,aspect_category
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i  m here to eat and enjoy the company of friends , seeking a pleasant experience .",NULL, service general
"well , i did n  t find it there , and trust , i have told everyone i can think of about my experience .",NULL, restaurant general
the last time i walked by it looked pretty empty . hmmm .,NULL, restaurant miscellaneous
i had a great experience .,NULL, restaurant general
food is great .,food, food quality
service is top notch .,service, service general
i have been going back again and again .,NULL, restaurant general
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",NULL, food quality
the sushi seemed pretty fresh and was adequately proportioned .,sushi, food quality
the rice to fish ration was also good - - they did n  t try to overpack the rice .,rice to fish ration, food style_options
we took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal, food quality
surprisingly nothing could be further from the truth .,NULL, restaurant miscellaneous
"in the evening , this place attracted a well dressed , with it , ny crowd .",crowd, restaurant miscellaneous
the food was well prepared and the service impecable .,food, food quality
i  m going back .,NULL, restaurant general
quite simply it  s like stepping out of manhattan and into a haven of tranquility .,NULL, ambience general
i will be going back and heartily recommend it !,NULL, restaurant general
"it is terrific , as is the value .",NULL, food quality
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food, food style_options
"i am not a vegetarian but , almost all the dishes were great .",dishes, food quality
go hungry and enjoy .,NULL, restaurant general
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",somosas, food quality
"the service varys from day to day - sometimes they  re very nice , and sometimes not .",service, service general
"the kitchen however , is almost always slow .",kitchen, service general
if you  ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,view, location general
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service, service general
the lava cake dessert was incredible and i recommend it .,lava cake dessert, food quality
"once you step into cosette , you  re miraculously in a small , off - the - beaten path parisian bistro .",cosette, ambience general
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",restaurant, ambience general
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food, food quality
"however , go for the ambience , and consider the food just a companion for a trip across the world !",ambience, ambience general
the pizza was delivered cold and the cheese was n  t even fully melted !,pizza, food quality
it looked like shredded cheese partly done - still in strips .,NULL, food quality
this has got to be one of the most overrated restaurants in brooklyn .,NULL, restaurant general
the pizza is overpriced and soggy .,pizza, food quality
"yes , they use fancy ingredients , but even fancy ingredients do n  t make for good pizza unless someone knows how to get the crust right .",ingredients, food quality
"a big disappointment , all around .",NULL, restaurant general
i think i  ve had some the best meals of my life at minnow .,meals, food quality
"the seafood is amazing , there  s a good wine list , and the ever - changing menu always offers some great surprises .",seafood, food quality
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients, food quality
worth the trip from manhattan .,NULL, restaurant general
best pastrami i ever had and great portion without being ridiculous .,pastrami, food quality
my wife had the fried shrimp which are huge and loved it .,fried shrimp, food style_options
"as a japanese native , i  ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",place, restaurant general
this place is the most japanese it can ever get .,place, restaurant miscellaneous
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",signs, restaurant miscellaneous
this place is worth an one - hour drive .,place, restaurant general
"i am so coming back here again , as much as i can .",NULL, restaurant general
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",leon, restaurant general
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff, service general
decent wine at reasonable prices .,wine, drinks quality
"our teenage kids love it , too .",NULL, restaurant general
"everytime i decide to try another place on the ues , i get angry that i did n  t just go to zucchero pomodori .",zucchero pomodori, restaurant general
this is by far my favorite place in the neighborhood .,place, restaurant general
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",service, service general
i  m partial to the gnocchi .,gnocchi, restaurant general
this place is incredibly tiny .,place, ambience general
they refuse to seat parties of 3 or more on weekends .,NULL, service general
the hostess is rude to the point of being offensive .,hostess, service general
the food was bland oily .,food, food quality
i just do n  t understand all the hype . . .,NULL, restaurant general
"we have been to this place many times , and always have great food , wine , and service .",food, food quality
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",wait, service general
as always we had a great glass of wine while we waited .,glass of wine, drinks quality
"when we sat , we got great and fast service .",service, service general
the people that work there are always so friendly you forget you are in new york sometimes .,people, service general
this is a fun restaurant to go to .,restaurant, restaurant general
the pizza is yummy and i like the atmoshpere .,pizza, food quality
but the pizza is way to expensive .,pizza, food prices
"a large is $ 20 , and toppings are about $ 3 each .",NULL, food prices
i went there for lunch and it was not as good as i expected from the reviews i read .,lunch, food quality
sauce was watery and the food did n  t have much flavor .,sauce, food quality
i do n  t think i would go again .,NULL, restaurant general
this place is great .,place, restaurant general
the waitress was very patient with us and the food is phenomenal !,waitress, service general
"service was prompt , friendly and great .",service, service general
slightly on the pricey side but worth it !,NULL, restaurant prices
great pizza and fantastic service .,pizza, food quality
"there was a small wait , but shorter than i expected .",wait, service general
located at the end of a magnificent block .,NULL, location general
very cozy and warm inside . . . . .,NULL, ambience general
i will be back !,NULL, restaurant general
this is the best sushi in new york city - hands down .,sushi, food quality
the place is small and cramped but the food is fantastic .,place, ambience general
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",sushi, food quality
"with the great variety on the menu , i eat here often and never get bored .",menu, food style_options
"the atmosphere is n  t the greatest , but i suppose that  s how they keep the prices down .",atmosphere, ambience general
it  s all about the food ! !,food, food quality
first it took us a long time to find the place .,place, restaurant miscellaneous
"but when we looked at the menu , there were n  t a lot of choices , most of them were dumplings in the appetizer section .",menu, food style_options
"those rolls were big , but not good and sashimi was n  t fresh .",rolls, food style_options
"they were dry and disgusting , i did n  t even finish my first piece .",NULL, food quality
hurley  s is like cheers where everyone knows your name and they are actually glad you came .,NULL, service general
"try the crunchy tuna , it is to die for .",crunchy tuna, food quality
"try everything for that matter , it is all good .",NULL, food quality
i have been going there since it opened and i ca n  t get enough .,NULL, restaurant general
first went here to enjoy their garden terrace .,garden terrace, ambience general
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",food, food quality
"the steak tartare is a great bet , they fix it for you at the table .",steak tartare, food style_options
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen, ambience general
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",wine selection, drinks style_options
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",vibe, ambience general
"have recommended the place to friends , always gets good response .",place, restaurant miscellaneous
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza, food quality
i take all my nyc guests to vt  s .,vt  s, restaurant miscellaneous
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",neighborhood, location general
i  ve been there three times and have always had wonderful experiences .,NULL, restaurant general
i  d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,setting, ambience general
i  m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we  re repeat customers .,mizu, restaurant general
even after they overcharged me the last time i was there .,NULL, service general
it  s delicious !,NULL, food quality
"moules were excellent , lobster ravioli was very salty !",moules, food quality
"took my mom for mother  s day , and the maitre d  was pretty rude .",maitre d , service general
"told us to sit anywhere , and when we sat he said the table was reserved .",NULL, service general
stepped on my foot on the second time he reached over me to adjust lighting .,NULL, service general
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert, food style_options
the drinks are always well made and wine selection is fairly priced .,drinks, drinks quality
try their chef  s specials - - they are to die for .,chef  s specials, food quality
"service is not exactly five star , but thats not really a big deal .",service, service general
downstairs lounge is always a good attraction,downstairs lounge, ambience general
the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food, food style_options
it is also extremely well priced .,NULL, food prices
the staff is incredibly helpful and attentive .,staff, service general
the bar is very well stocked with interesting beers and well priced wines .,bar, drinks style_options
this is one of my favorite restaurants and it is not to be missed .,NULL, restaurant general
your friends will thank you for introducing them to this gem !,NULL, restaurant general
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",leon, restaurant general
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",waitress, service general
"then , to top things off , she dropped used silverware on my boyfriend  s jacket and did not stop to apologize or clean the mess that was left on clothes .",NULL, service general
such a disappointment . . .,NULL, service general
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",service, service general
i loved everythig about it - especially the shows and actors .,shows, ambience general
our server was very helpful and friendly .,server, service general
the food was good too .,food, food quality
the tuna and wasabe potatoes are excellent .,tuna, food quality
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere, location general
"inside is a little cramped , but to be expected .",NULL, ambience general
service was prompt and courteous .,service, service general
this was a repeat visit and we  ll definitely be back again .,NULL, restaurant general
"great service , great food .",service, service general
prices are in line .,NULL, restaurant prices
but too far east !,NULL, location general
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria  s .",pizza, food quality
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection, food style_options
"also , because it is so thin , it gets cold very quickly and its not that filling .",NULL, food quality
wait staff is blantently unappreciative of your business but its the best pie on the uws !,wait staff, service general
by far the best salad i have had in a fast food restaurant .,salad, food quality
over 100 different choices to create your own .,NULL, food style_options
a must try !,NULL, restaurant general
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",restaurant, restaurant general
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL, food quality
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie, food quality
"with so many poor experiences to be had in the theater district , is truly an excellent find !",NULL, restaurant general
the staff is no nonsense .,staff, service general
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,bagels, food quality
worth visiting the 1st ave spot because it is the original store .,1st ave spot, restaurant miscellaneous
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !",uni hand roll, food quality
the sake menu should not be overlooked !,sake menu, drinks style_options
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",NULL, restaurant general
try the lobster teriyaki and the rose special roll .,lobster teriyaki, food quality
"service was very good - prompt , attentive and non - intrusive .",service, service general
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",food, food quality
wine list selection is good and wine - by - the - glass was generously filled to the top .,wine list selection, drinks style_options
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,traditional french decour, ambience general
"i  ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice, restaurant general
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",service, service general
"seating is always prompt , though the restaurant does fill up in the evening .",seating, service general
"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .",food, food quality
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",NULL, service general
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",decor, ambience general
i have never been disappointed in the red eye .,red eye, restaurant general
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",live jazz band, ambience general
it  s simply the best meal in nyc .,meal, food quality
you can not go wrong at the red eye grill .,red eye grill, restaurant general
"if we were to move from the upper east side , we would genuinely miss this restaurant .",restaurant, restaurant general
the restaurant is cute but not upscale .,restaurant, restaurant general
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food, food quality
i would highly recommend it .,NULL, restaurant general
it  s one of our favorite places to eat in ny .,NULL, restaurant general
we had a great time at the jekyll and hyde pub last night .,jekyll and hyde pub, restaurant general
after really enjoying ourselves at the bar we sat down at a table and had dinner .,bar, restaurant miscellaneous
the server was really cool and served us our food and drinks with a smile .,server, service general
the place  s decor and hidden bathrooms made for a good laugh .,decor, ambience general
i highly recommend visiting this restaurant and having dinner and drinks !,restaurant, restaurant general
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place, restaurant miscellaneous
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",beers, drinks style_options
the entertainment was great they have shows that go on through out the dinner .,entertainment, ambience general
you will not be disapointed at all .,NULL, restaurant general
we were not dissappointed in the least bit by this little gem .,NULL, restaurant general
the bagel was huge .,bagel, food style_options
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,bagel, food style_options
i loved it and would highly recommend .,NULL, restaurant general
this was my frist time at cafe st . bart  s and i must say how delicious the food and the service was .,food, food quality
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster roll, food quality
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza, food quality
"i highly recommend cafe st . bart  s for their food , the ambience and wonderful service .",food, food quality
all the staff is absolutely professional ! !,staff, service general
"( that is a must , but not every restaurant can do . . . )",NULL, service general
"there  s nice and quiet , small but enough for 6 ( or more ) .",NULL, ambience general
this restaurant was way overhyped .,restaurant, restaurant general
my chow fun and chow see was really bland and oily .,chow fun and chow see, food quality
okay - i do n  t mind the oily part ( cause most are cooked that way ) but it was way too bland .,NULL, food quality
the scallion pancakes and fried dumplings were nothing out of the ordinary .,scallion pancakes, food quality
the service was the only thing good about this restaurant .,service, service general
"it  s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",sushi, food quality
i definitely would n  t go back .,NULL, restaurant general
their pad penang is delicious and everything else is fantastic .,pad penang, food quality
the price is reasonable although the service is poor .,service, service general
"great for a romantic evening , or a fun evening with friends . . .",NULL, restaurant miscellaneous
i will be going back very soon .,NULL, restaurant general
keep up the good work .,NULL, restaurant general
it was wonderful .,NULL, restaurant general
"the salads are delicious , both refreshing and very spicy .",salads, food quality
we had pam  s special fried fish and it was amazing .,pam  s special fried fish, food quality
too large for just two people but nothing was left .,NULL, food style_options
"great vibe , lots of people .",vibe, ambience general
"my husbands was perfect , my was well done and dry .",NULL, food quality
"i did n  t complain , i liked the atmosphere so much .",atmosphere, ambience general
on a hot day it was fabulous to stop in and enjoy lunch .,NULL, restaurant general
"ambience is so cute and quaint , good for business although we were there on vacation .",ambience, ambience general
salads were fantastic .,salads, food quality
although we were looking for regular lettuce and some walnuts the salads we got were great .,salads, food quality
ingredients are organic which is a real plus for me .,ingredients, food quality
we will be back .,NULL, restaurant general
the spicy tuna roll is huge and probably the best that i  ve had at this price range .,spicy tuna roll, food style_options
the yellowtail was particularly good as well .,yellowtail, food quality
"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",all you can eat deal, food style_options
"in any event , this is a place i  ll be sure to stop by again when i  m in this part of town .",place, restaurant general
big wong gets big ups for a fine establishment .,big wong, restaurant general
"they have it all - - great price , food , and service .",food, food quality
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere, ambience general
the food is prepared quickly and efficiently .,NULL, service general
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",NULL, food prices
the takeout is great too since they give high quality tupperware as well .,takeout, service general
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,caesar salad, food quality
we both opted for a pasta dish and they were served timely and fresh .,pasta dish, food quality
"we concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake, food quality
we  d go back again,NULL, restaurant general
i recently went to this restaurant with some co - workers for lunch and had an amazing time .,restaurant, restaurant general
"the staff was accomodating , the food was absolutely delicious and the place is lovely .",staff, service general
we even had a visit from the manager who wanted to make sure we were enjoying ourselves .,manager, service general
"yes , the prices are high , but i felt it was worth it .",NULL, restaurant prices
we all felt it was worth it .,NULL, restaurant general
sometimes i get good food and ok service .,food, food quality
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",food, food quality
it is not consistent .,NULL, restaurant general
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,dishes, food style_options
and where does patis go wrong ; no where .,patis, restaurant general
"you are not eating haut cuisine with subtle hints of whatever but : cassuolet , steake fritte , tripe stew , etc ; simple stuff .",NULL, food style_options
right off the l in brooklyn this is a nice cozy place with good pizza .,pizza, food quality
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,raddichio, food quality
my friend got the mushroom pizza which tasted better .,mushroom pizza, food quality
the sangria was pretty tasty and good on a hot muggy day .,sangria, drinks quality
kind of a small place but i guess if they are not too busy might be able to fit a group or kids .,place, restaurant miscellaneous
overall i would recommend it and go back again .,NULL, restaurant general
i started out with a bombay beer which was big enough for two .,bombay beer, drinks style_options
mmmmm . . . it was delicious .,NULL, food quality
"service was slow , but the people were friendly .",service, service general
it  s a nice place to relax and have conversation .,place, ambience general
i ca n  t wait to go back .,NULL, restaurant general
the food is authentic italian - delicious !,food, food quality
"pizza is terrific , as is homemade pasta .",pizza, food quality
"ambience is delightful , service impeccable .",ambience, ambience general
service was also horrible and the ambience is not that great .,service, service general
do not try unless you  re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,NULL, restaurant miscellaneous
i go and eat out at many different restaurants and this is one place you have go and try .,place, restaurant general
this is my first time writing a review for a restaurant because the food and service was excellent .,food, food quality
the filet mignon dish was superb !,filet mignon dish, food quality
i would defiantly come back here again as one of my top choices .,NULL, restaurant general
it  s a small cute restaurant .,restaurant, restaurant general
i absolutely love this place ! ! !,place, restaurant general
"i like the ambience , it  s very dark and original .",ambience, ambience general
the sushi is amazing ! ! !,sushi, food quality
and amazingly cheap .,NULL, food prices
very affordable and excellent ambient !,ambient, ambience general
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .,beef and noodle soup dishes, food quality
we were very disappointed .,NULL, food quality
we wo n  t go to this place again for a good meal .,meal, food quality
"however , i think this place is a good hang out spot .",place, ambience general
my girlfriend and i stumbled onto this hopping place the other night and had a great time !,place, restaurant general
"they tell me they are going to cover the garden in glass for the winter , so i  m looking forward to going there on a snowy night to enjoy it .",NULL, restaurant miscellaneous
check this place out !,place, restaurant general
highly recommended ! ! ! ! !,NULL, restaurant general
"first of all , this place is * not * romantic , as claimed by citysearch  s editorial review .",place, ambience general
"either that , or the editor  s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th .",NULL, ambience general
"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .",tables, ambience general
slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .,wines, drinks quality
service is not what one would expect from a joint in this price category .,service, service general
"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . .",NULL, service general
somehow working the italian charm with constant mille grazie does not constitute proper service .,service, service general
"to be completely fair , the only redeeming factor was the food , which was above average , but could n  t make up for all the other deficiencies of teodora .",food, food quality
not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .,meals, food quality
fish was overdone .,fish, food quality
"cute place , nice wait staff but would never go there again .",wait staff, service general
someone else recommended the dessert - we also left that .,dessert, food quality
one of us actually liked the expresso - that  s it .,expresso, drinks quality
"skip this restaurant , it  s a big disappointment .",restaurant, restaurant general
myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .,myagi, restaurant general
i  ve never had bad service and the fish is fresh and delicious .,service, service general
their tuna tartar appetizer is to die for .,tuna tartar appetizer, food quality
"i come from a family of pizzeria owners , and i  m almost ashamed to say that the pizza in fornino  s blows my families receipies away .",pizza, food quality
the place is so cool and the service is prompt and curtious .,service, service general
i highly recommend to anyone to give this place a try .,place, restaurant general
you will find yourself returning quite often .,NULL, restaurant general
a restaurant that does n  t try to do anything except serve great food with great service in a pleasant atmosphere .,food, food quality
no gimmicks here - - the food speaks for itself in its freshness and preparation .,food, food quality
the dining room is quietly elegant with no music to shout over - - how refreshing !,dining room, ambience general
"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",service, service general
"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",meal, food quality
the view is breathtaking the service is top notch . . . the ambiance is wonderful .,view, location general
the staff offers impeccable service .,staff, service general
i had lobster bisque it has 2 oz . of maine lobster in it .,lobster bisque, food quality
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,new england chowder, food quality
it was divine melts in your mouth .,NULL, food quality
my boyfriend had prime rib it was good .,prime rib, food quality
we did n  t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .,bottles of korbett, drinks style_options
it  s cuz it  s so good you need to taste it ! ! !,NULL, food quality
all in all we  re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !,NULL, restaurant general
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,food, food quality
if you like spicy food get the chicken vindaloo .,chicken vindaloo, food quality
it  s very spicy but not offensive .,NULL, food quality
we will definitely go back .,NULL, restaurant general
go to volare for 1st class service and terrific food .,service, service general
the portions are large and the servers always surprise us with a different starter .,portions, food style_options
the wine list is excellent .,wine list, drinks style_options
the food is amazing . . . especially if you get the chef  s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,food, food quality
"the place is small and intimate and you may feel a little crowded , but the service is excellent and it  s great for friends out , a romantic date , or a special occassion .",service, service general
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n  t like .,food, food prices
please be aware that it  s cash or amex only !,NULL, restaurant miscellaneous
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",food, food quality
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino, food quality
"the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .",decor, ambience general
problem is nothing at prune is particularly memorable .,prune, restaurant general
no plans to return anytime soon .,NULL, restaurant general
this place is so much fun .,place, ambience general
our family never expected such incredible entertainment in a restaurant .,entertainment, ambience general
our food was great too !,food, food quality
and really large portions .,portions, food style_options
the staff was the friendliest that have seen in new york .,staff, service general
if you want something really different than try jekyll and hyde .,jekyll and hyde, restaurant general
it is a lot of fun with live entertainment and all kinds of disney type special effects .,NULL, ambience general
the food was pretty tradional but it was hot and good with large portions .,food, food quality
i highly recommend it .,NULL, restaurant general
the place is a lot of fun .,place, ambience general
my six year old loved it .,NULL, restaurant general
"the food however , is what one might expect .",food, food quality
it is very overpriced and not very tasty .,NULL, food quality
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,NULL, service general
service was slow had to wait to order and get food although not crowded .,service, service general
drinks way over priced .,drinks, drinks prices
food was good not great not worth the wait or another visit,food, food quality
great pizza for lunch place .,pizza, food quality
service was quick .,service, service general
the pizza was great .,pizza, food quality
and it was quick which is very important .,NULL, service general
have the iced tea .,iced tea, food quality
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",fish, food quality
delivery is fast too .,delivery, service general
"great friendly service , fast seating , fast delivery , excellent sushi .",service, service general
ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .,bagel, food quality
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels, food quality
they have a huge selection of different cream cheeses and all of their salads are great .,salads, food quality
the lox is always fresh too .,lox, food quality
highly recommended to all !,NULL, restaurant general
not impressed with the food .,food, food quality
prices too high for this cramped and unappealing resturant .,resturant, restaurant prices
zero ambiance to boot .,ambiance, ambience general
i thought this place was totally overrated .,place, restaurant general
everything we had was good or ok . . . . but definitely nothing great .,NULL, food quality
"the ambience was nice , but service was n  t so great .",ambience, ambience general
"when you add it all together , it just does n  t seem worth it to me . . . especially considering the prices .",NULL, restaurant general
this is the best shabu - shabu restaurant in the try - state area .,shabu - shabu restaurant, restaurant general
thius is a must for anyone who loves shabu - shabu .,shabu - shabu, food quality
"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .",atmosphere, ambience general
the owner and staff are all japanese as well and that adds to the entire ambiance .,owner, restaurant miscellaneous
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",menu, food style_options
i must give it yon out of yon stars !,NULL, restaurant general
taxan delicious !,taxan, food quality
"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !",NULL, restaurant general
we were n  t !,NULL, restaurant general
the prices were cheap compared to the quality of service and food .,service, service general
"we liked it so much , that we will always make it a point to dine here when we visit new york .",NULL, restaurant general
the location and ambience is ok but the food is what makes up for it .,location, location general
there is a lot of variety even for people who eat vegetarian like me .,NULL, food style_options
try green curry with vegetables .,green curry with vegetables, food quality
"the quantity is also very good , you will come out satisfied .",quantity, food style_options
"the service is ok , some of the people did n  t get what they asked for .",service, service general
i was there on sat . for my birthday and we had an excellent time .,NULL, restaurant general
i had the best ravioli ever .,ravioli, food quality
the wine the service was very good too .,wine, drinks quality
moderate prices .,NULL, restaurant prices
a little noise but i think that was because of our party !,NULL, ambience general
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,trattoria, ambience general
